"","pptnum","Title","Artist","memoryage","type","vivid","memvalence","memenergy","unique","important","social","emo","emoextra","corresponding","specific","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","key_name","mode_name","key_mode","Age"
"1206",193,"Heat Waves","Glass Animals",14,3,5,3,2,2,3,2,"25","",1,0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"6CDzDgIUqeDY5g8ujExx2f","B","major","B major",18
"1207",193,"Mood (feat. iann dior)","24kGoldn�featuring�Iann Dior",18,4,7,5,5,4,5,5,"4","",1,0,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,"4jPy3l0RUwlUI9T5XHBW2m","G","minor","G minor",18
"1208",193,"The Box","Roddy Ricch",14,3,7,2,3,5,2,2,"25","",1,0,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,"0nbXyq5TXYPCO7pr3N8S4I","A#","minor","A# minor",18
"1209",193,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone�and�Swae Lee",14,3,4,4,4,5,3,2,"25","",1,0,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"3KkXRkHbMCARz0aVfEt68P","D","major","D major",18
"1210",193,"Sugar","Maroon 5",11,4,7,5,3,5,5,5,"4,25","",1,0,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,"494OU6M7NOf4ICYb4zWCf5","C#","major","C# major",18
"1211",193,"All of Me","John Legend",17,2,7,4,1,3,2,4,"1,7,3,24,2","",1,1,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,"3U4isOIWM3VvDubwSI3y7a","G#","major","G# major",18
"1212",194,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone�and�Swae Lee",17,3,7,5,5,4,4,3,"24,19","",1,0,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"3KkXRkHbMCARz0aVfEt68P","D","major","D major",18
"1213",194,"Havana (feat. Young Thug)","Camila Cabello�featuring�Young Thug",13,3,6,5,4,4,3,5,"24,23,19","",0,0,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,"1rfofaqEpACxVEHIZBJe6W","D","major","D major",18
"1214",194,"One Dance","Drake�featuring�Wizkid�and�Kyla",15,3,7,4,5,4,2,2,"24,19","",1,0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,"1zi7xx7UVEFkmKfv06H8x0","C#","major","C# major",18
"1215",194,"Trap Queen","Fetty Wap",11,3,7,5,5,2,4,5,"24,19","",1,0,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,"4AtfPLLTc3Pi1eP6mXGej8","G","major","G major",18
"1216",194,"Happy - From ""Despicable Me 2""","Pharrell Williams",9,3,3,5,4,2,3,5,"24,19","",1,0,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,"5b88tNINg4Q4nrRbrCXUmg","F","minor","F minor",18
"1217",195,"Blinding Lights","The Weeknd",17,4,4,2,2,1,1,1,"4,9","",1,0,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"0sf12qNH5qcw8qpgymFOqD","C#","major","C# major",18
"1219",195,"Shape of You","Ed Sheeran",15,3,1,3,3,2,2,3,"8,6,33","Self-consciousness",1,0,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"7qiZfU4dY1lWllzX7mPBI3","C#","minor","C# minor",18
"1220",195,"Happy - From ""Despicable Me 2""","Pharrell Williams",8,4,2,3,4,4,4,4,"4,19,25,8","",1,0,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,"5b88tNINg4Q4nrRbrCXUmg","F","minor","F minor",18
"1221",196,"Shivers","Ed Sheeran",17,2,6,3,4,4,1,1,"1,23,25","",1,1,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,"75MNhvTCCKsST3YqqUiU9r","D","major","D major",19
"1222",196,"good 4 u","Olivia Rodrigo",17,2,5,4,4,3,2,3,"7,24,34,23","",1,1,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,"4ZtFanR9U6ndgddUvNcjcG","A","major","A major",19
"1223",196,"The Box","Roddy Ricch",16,2,5,4,5,5,3,5,"24,4,23,19","",1,1,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,"0nbXyq5TXYPCO7pr3N8S4I","A#","minor","A# minor",19
"1224",196,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone�and�Swae Lee",16,2,5,4,4,3,2,3,"3,24,4,23,19","",1,1,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"3KkXRkHbMCARz0aVfEt68P","D","major","D major",19
"1225",196,"Perfect","Ed Sheeran",18,2,7,5,4,5,4,5,"24,19,25","",1,1,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,"0tgVpDi06FyKpA1z0VMD4v","G#","major","G# major",19
"1226",196,"Something Just Like This","The Chainsmokers�and�Coldplay",12,2,4,4,4,3,1,1,"24,23,19","",1,1,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,"6RUKPb4LETWmmr3iAEQktW","B","minor","B minor",19
"1227",196,"Sorry","Justin Bieber",11,3,5,4,4,3,1,3,"24,2,4,23,19","",1,0,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,"09CtPGIpYB4BrO8qb1RGsF","C","minor","C minor",19
"1228",196,"Sugar","Maroon 5",15,2,4,4,4,3,1,4,"7,24,19","",1,1,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,"494OU6M7NOf4ICYb4zWCf5","C#","major","C# major",19
